control_name,norm_name,match_type,matched_razon,matched_ruc,raw_matches
ACU¥A VEGA CONSULTORES Y EJECUTORES,ACUNA VEGA CONSULTORES Y EJECUTORES,partial,ACU¥A VEGA CONSULTORES Y EJECUTORES EIRL,20487493059,"[('ACU¥A VEGA CONSULTORES Y EJECUTORES EIRL', '20487493059'), ('ACU¥A VEGA CONSULTORES Y EJECUTORES EIRL', '20487493059')]"
ACU¥A VEGA CONSULTORES Y EJECUTORES EIRL,ACUNA VEGA CONSULTORES Y EJECUTORES EIRL,exact,ACU¥A VEGA CONSULTORES Y EJECUTORES EIRL,20487493059,"[('ACU¥A VEGA CONSULTORES Y EJECUTORES EIRL', '20487493059'), ('ACU¥A VEGA CONSULTORES Y EJECUTORES EIRL', '20487493059')]"
ARKEL DEL PERé,ARKEL DEL PERU,exact,ARKEL DEL PERé,20606241403,"[('ARKEL DEL PERé', '20606241403'), ('ARKEL DEL PERé', '20606241403'), ('ARKEL DEL PERé', '20606241403'), ('ARKEL DEL PERé', '20606241403'), ('ARKEL DEL PERé', '20606241403')]"
AZ INVERSIONES INMOBILIARIAS,AZ INVERSIONES INMOBILIARIAS,partial,AZ INVERSIONES INMOBILIARIAS SAC,20516862506,"[('AZ INVERSIONES INMOBILIARIAS SAC', '20516862506'), ('AZ INVERSIONES INMOBILIARIAS SAC', '20516862506'), ('AZ INVERSIONES INMOBILIARIAS SAC', '20516862506'), ('AZ INVERSIONES INMOBILIARIAS SAC', '20516862506'), ('AZ INVERSIONES INMOBILIARIAS SAC', '20516862506')]"
BIDDLE INC,BIDDLE INC,partial,BIDDLE INC SACÿ,20296637697,"[('BIDDLE INC SACÿ', '20296637697'), ('BIDDLE INC SACÿ', '20296637697'), ('BIDDLE INC SAC', '20296637697')]"
BUSCONSULTING SAC,BUSCONSULTING SAC,exact,BUSCONSULTING S.A.C,20543988325,"[('BUSCONSULTING S.A.C', '20543988325')]"
CAFISAC,CAFISAC,exact,CAFISAC,20550488192,"[('CAFISAC', '-'), ('CAFISAC', '20550488192'), ('CAFISAC', '20550488192'), ('CAFISAC', '20550488192'), ('CAFISAC', '20550488192')]"
CARLOS GASPAR,CARLOS GASPAR,exact,CARLOS GASPAR,,"[('CARLOS GASPAR', '-')]"
CJ CONTRATISTAS ASOCIADOS S.A.C.,CJ CONTRATISTAS ASOCIADOS SAC,exact,CJ CONTRATISTAS ASOCIADOS SAC,20510303386,"[('CJ CONTRATISTAS ASOCIADOS SAC', '20510303386'), ('CJ CONTRATISTAS ASOCIADOS S.A.C.', '20510303386'), ('CJ CONTRATISTAS ASOCIADOS S.A.C.', '20510303386')]"
CLUB SOCIAL DEFENSOR DEL CARMEN DE HUAROCONDO,CLUB SOCIAL DEFENSOR DEL CARMEN DE HUAROCONDO,none,,,[]
CONCEPTO EDIFICACINES SCRL,CONCEPTO EDIFICACINES SCRL,none,,,[]
CONSORCIO ALEJANDRINO,CONSORCIO ALEJANDRINO,partial,CONSORCIO ALEJANDRINO S.A.,20501519481,"[('CONSORCIO ALEJANDRINO S.A.', '20501519481')]"
CONSORCIO DHMONT,CONSORCIO DHMONT,exact,CONSORCIO DHMONT,20502574109,"[('CONSORCIO DHMONT', '20502574109')]"
CONSORCIO GRUPO RYD,CONSORCIO GRUPO RYD,exact,CONSORCIO GRUPO RYD,20614588625,"[('CONSORCIO GRUPO RYD', '20614588625')]"
CONSORCIO HUAYCOLORO,CONSORCIO HUAYCOLORO,exact,CONSORCIO HUAYCOLORO,20611484853,"[('CONSORCIO HUAYCOLORO', '20611484853')]"
CONSORCIO LAMAR,CONSORCIO LAMAR,partial,CONSORCIO LAMAR S.A.C.,20554579567,"[('CONSORCIO LAMAR S.A.C.', '20554579567'), ('CONSORCIO LAMAR S.A.C.', '20554579567'), ('CONSORCIO LAMAR S.A.C.', '20554579567')]"
CONSORCIO LAMAR S.A.C.,CONSORCIO LAMAR SAC,exact,CONSORCIO LAMAR S.A.C.,20554579567,"[('CONSORCIO LAMAR S.A.C.', '20554579567'), ('CONSORCIO LAMAR S.A.C.', '20554579567'), ('CONSORCIO LAMAR S.A.C.', '20554579567')]"
CONSORCIO LIMA,CONSORCIO LIMA,exact,CONSORCIO LIMA,,"[('CONSORCIO LIMA', '-')]"
CONSORCIO LIMA NORTE,CONSORCIO LIMA NORTE,exact,CONSORCIO LIMA NORTE,20614164833,"[('CONSORCIO LIMA NORTE', '20614164833')]"
CONSORCIO PERU HEALTH,CONSORCIO PERU HEALTH,exact,CONSORCIO PERU HEALTH,20607121878,"[('CONSORCIO PERU HEALTH', '20607121878')]"
CONSORCIO VESUR,CONSORCIO VESUR,none,,,[]
